time, Quad.GPS.X
0.105000,-0.372323
0.205000,0.639950
0.305000,-0.736690
0.404998,0.869270
0.504997,0.180184
0.604996,-0.945243
0.704994,0.887947
0.804993,-0.259707
0.904992,-0.450426
1.004991,-1.571599
1.104996,-0.470617
1.205000,-0.521890
1.305005,0.253402
1.405010,0.472110
1.505014,-0.728200
1.605019,-0.304055
1.705024,0.691446
1.805028,0.977290
1.905033,-0.719771
2.005037,0.026246
2.105030,-0.246203
2.205023,0.657936
2.305015,0.154334
2.405008,0.268336
